#CODE;RUSSIAN;x
INSULT_PIGFACE;хрюшка;x #child
IDLE;§GЖдём приказов§!;x
ISNT_WICKED;НЕ порочн[GetAyaYy];x
IS_WICKED;Порочн[GetAyaYy];x
ISNT_VIRTOUS;НЕ хорош[GetAyaYy];x
IS_VIRTOUS;Хорош[GetAyaYy];x
ISNT_NEUTRAL;НЕ с нейтральным характером;x
IS_NEUTRAL;С нейтральным характером;x
#SUCCESSION_DESC;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ at age [GetAgeYears]. [GetSubjectPronounCap] [GetDeathReason]. $DEATH_TRAIT_DESC$. Long live $NEW_TITLE$ $NEW_NAME$!;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$. Votre prйdйcesseur [GetDeathReason], а l'вge de [GetAgeYears] ans. $DEATH_TRAIT_DESC$. Longue vie а $NEW_NAME$, dйsormais notre $NEW_TITLE$ !;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ im Alter von [GetAgeYears]. [GetSubjectPronounCap] [GetDeathReason]. $DEATH_TRAIT_DESC$. Lang lebe $NEW_TITLE$ $NEW_NAME$!;;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ a los [GetAgeYears]. [GetSubjectPronounCap] [GetDeathReason]. $DEATH_TRAIT_DESC$. ЎViva $NEW_TITLE$ $NEW_NAME$!;;;;;;;;x
SM_EFFECT_VOLUME;Эффекты;x
SM_MASTER_VOLUME;Общая;x
SM_MUSIC_VOLUME;Музыка;x
SM_DEATH_SOUND;Предсмертные звуки;x
ReapersDLC;The Reaper's Due (Дополнение);x
INSULT_OCCULTIST;чернокнижник;x
INSULT_CORRUPT;Порочная;x
release_tributary;Осводить данника;x
release_tributary_desc;Вы можете освободить земли, которые платят Вам дань и тем самым лишить их своей защиты. Это повредит Вашему престижу, но никак не помешает напасть на них снова.;x
employ_court_physician;Нанять лекаря;x
employ_court_physician_desc;Разослать гонцов с поручением разыскать подходящего кандидата на роль §Yпридворного лекаря§!. Вам придётся заплатить этому человеку за присоединение к Вашему двору. Если у Вас уже есть §Yпридворный лекарь§!, выбор нового сместит прежнего с должности.;x
employ_court_physician_tooltip;Вся страна узнает о том, что Вы хотите нанять придворного лекаря.\n;x
EVTDESC_RIP_11050;Гонцы и лазутчики отправились по Вашему поручению во все концы и уголки страны, дабы разыскать среди множества известных и опытных лекарей того, кто пожелал бы прибыть к Вам и занять почётную должность при дворе. Будем надеяться, они не приведут какого-нибудь шарлатана...;x
EVTOPTA_RIP_11050;Не хотелось бы ждать слишком долго.;x
EVTOPTA_RIP_11053;Пожалуй, такой лекарь мне не подойдет.;x
