#CODE;RUSSIAN;x
AYA_POSTFIX;ая;x
AYA_MAP_POSTFIX;;x
POSS_PRONOUN_FEM_CAP;Eё;x
POSS_PRONOUN_MAL_CAP;Eго;x
GetRelation_Acquaintance_Female;знакомая;x
GetRelation_GrеatGrandmother;прабабушка;x
GetRelation_GreatGrandfather;прадед;x
GetRelation_GreatGranddaughter;правнучка;x
GetRelation_GreatGrandson;правнук;x
GetRelation_Concubine;наложница;x
GetRelation_Guardian_Male;наставник;x
GetRelation_Guardian_Female;наставница;x
GetRelation_Ward_Male;воспитанник;x
GetRelation_Ward_Female;воспитанница;x
GetRelation_MotherOfWife;тёща;x
GetRelation_MotherOfHusband;свекровь;x
GetRelation_FatherOfWife;тесть;x
GetRelation_FatherOfHusband;свёкор;x
GetRelation_WifeOfSon;невестка;x
GetRelation_HusbandOfDaughter;зять;x
GetViceGluttonous;прожорлив;x
GetViceEnvious;завистлив;x
GetViceWroth;гневлив;x
String_rakshasa;ракхаса;x
String_rakshasas;ракхасы;x
String_Requiescat_in_pace;Requiescat in pace;x
String_GodDAT;Господу;x
String_ShivaDAT;Шиве;x
String_Saint_BenedictGEN;Святого Бенедикта;x
String_Saint_DominicGEN;Святого Доминика;x
String_Saint_AnthonyGEN;Святого Антония;x
String_BuddhaGEN;Будды;x
String_Adi_ShankaraGEN;Ади Шанкары;x
String_Acharya_KundakundaGEN;Ачарьи Кундакунды;x
String_Saint_BasilGEN;Святого Василия;x #Saint Basil;x
String_Saint_AbrahamGEN;Святого Авраама;x #Saint Abraham;x
String_the_Rule_of_Saint_BenedictGEN;Кодекса Святого Бенедикта;x
String_the_Rule_of_Saint_AugustineGEN;Кодекса Святого Августина;x
String_the_Rule_of_Saint_BasilGEN;Кодекса Святого Василия;x
String_the_Rule_of_Saint_AbrahamGEN;Кодекса Святого Авраама;x
String_the_Rule_of_Saint_AnthonyGEN;Кодекса Святого Антония;x
String_the_Noble_Eightfold_PathGEN;Благородного Восьмеричного Пути;x
String_the_four_PurusarthaGEN;Четырёх Пурушартх;x
String_the_AnuvrataGEN;Анувраты;x
String_the_Rule_of_Saint_BenedictDAT;Кодексу Святого Бенедикта;x
String_the_Rule_of_Saint_AugustineDAT;Кодексу Святого Августина;x
String_the_Rule_of_Saint_BasilDAT;Кодексу Святого Василия;x
