#CODE;RUSSIAN;x
EVTDESC_WOL_115;О, [target_seduced.GetTitledFirstNameNoRegnal]! Сколько трудностей мне пришлось преодолеть ради тебя, сколько дней и бессонных ночей в ожидании ответа в твоём сердце, но и любовным устремлениям есть предел. Да и найдется ли у меня время, чтобы ехать так далеко?;x
EVTDESC_WOL_115_BUSY;Моё нынешнее положение не оставляет мне выбора. Я попросту не могу себе позволить какие-либо любовные интриги. О, [target_seduced.GetTitledFirstNameNoRegnal], увидимся ли мы снова?.;x
EVTDESC_WOL_115_UNAVAILABLE;О, [target_seduced.GetTitledFirstNameNoRegnal]. Какие бы чувства мы не питали друг к другу, тебя никогда нет рядом!;x
EVTOPTA_WOL_115;Пора признать... это безнадежно.;x
EVTOPTB_WOL_115;Я так просто не сдамся!;x
stop_seduce_decision;Прекратить соблазнение;x
stop_seduce_decision_desc;Пора отказаться от текущих усилий по соблазнению. Возможно, мне стоит сосредоточиться на чём-то другом...;x
stop_seduce_decision_tt;Соблазнение прекратится;x
stop_seduce_decision_target;Прекратить соблазнение;x
stop_seduce_decision_target_desc;§Y[Root.GetTitledFirstNameNoRegnal]§! не стоит моих усилий, пора заканчивать эти любовные игры. Сосредоточусь на чём-нибудь другом...;;x
stop_spy_on_decision;Прекратить шпионаж;x
stop_spy_on_decision_desc;Хватит уже шпионить за этим человеком. Есть масса других личностей, представляющих интерес...;x
stop_spy_on_decision_tt;Шпионаж будет прерван;x
stop_spy_on_decision_target;Перестать шпионить;x
stop_spy_on_decision_target_desc;§Y[Root.GetTitledFirstNameNoRegnal]§! не стоит моего внимания, пора прекратить шпионаж. Сосредоточусь на чём-нибудь другом...;;x
EVTDESC_HL_5051;Банды налётчиков подрывают торговлю нашего государства. Мой сюзерен, [Liege.GetTitledFirstName], приказывает мне поймать их главаря, дабы дороги снова стали безопасными для караванов.;x
EVTOPTA_HL_5051;Это мой долг.;x
EVTOPTB_HL_5051;Я не стану рисковать своей головой ради этого.;x
EVTTOOLTIP_HL_5051;Отказ выполнять приказ даст повод моему сюзерену арестовать меня.;x
EVTDESC_HL_5052;[From.GetTitledFirstName] торжественно бросает к моим ногам голову предводителя разбойников, прежде разорявших [FromFrom.County.GetAdjective]ских купцов.;x
EVTOPTA_HL_5052;Отличная работа!;x
EVTDESC_HL_5053;Поздним вечером конюший приводит коня, который вернулся в стойло без всадника. Без сомнения, хозяин коня - [From.GetTitledFirstName], на н[From.GetHersHis] напали разбойники!;x
EVTOPTA_HL_5053;Что за страшная судьба.;x
EVTOPTB_HL_5053;Я убью их!;x
EVTOPTC_HL_5053;Скорее! Найдите этих мерзавцев!;x
EVTDESC_HL_5054;[From.GetTitledFirstName], эта трусливая тварь, слишком дорожит своей жизнью, чтобы лично уничтожить разбойников! Ослушаться моего приказа, неслыханно! Я могу арестовать [From.GetHersHis], но это не решит проблему безопасности торговых путей.;x
EVTOPTA_HL_5054;[From.SheHeCap] ответит за своё предательство!;x
EVTOPTB_HL_5054; "Хочешь сделать хорошо, делай сам".;x
EVTOPTC_HL_5054;Что ж, задействуем войска.;x
EVTDESC_HL_5055;[From.GetTitledFirstName] возвращается избитый с остатками своего войска, если это ещё можно назвать войском. Жалкое зрелище. Всё, что [From.GetSheHe] может Вам сообщить - это о своём сокрушительном поражении в бою с разбойниками.;x
EVTOPTA_HL_5055;Надоедливые крысы!;x
EVTDESC_HL_5056;К закату я и мои люди нашли лагерь разбойников. Посовещавшись, мы решили, что лучше будет...;x
EVTOPTA_HL_5056;...ворваться в лагерь и убить их лидера.;x
EVTOPTB_HL_5056;...дождаться полуночи и прокрасться мимо охраны.;x
