#CODE;RUSSIAN;x
EVTOPTA_HL_121;Золото - признак благородства, друг мой!;x
abandon_province;Покинуть эти земли;x
abandon_province_desc;Пришло время покинуть это место и искать новые пастбища.;x
nomads_exploited_land;Пастбища кочевников;x
nomad_population_boom;Демографический взрыв;x
nomad_population_boom_spillover;Перенаселённость;x
PROVINCE_ABANDONED_TOOLTIP;Покинуть этот округ и позволить кому-то из соседей занять его;x
ANY_SETTLEMENT;Любое поселение;x
CB_NAME_INSTALLKHAN;Свержение кагана;x
cb_install_khan_desc;Кланы могут свергнуть кагана и посадить на его место более могущественного кандидата.;x
elephant_trample_tactic;Слоногон;x
INTERACTION_NOT_ALREADY_ENEMIES;Не является врагом;x
CLAN_SAME_FAITH;Та же вера;x
DOES_NOT_RISK_MINOR_CLAN_RISING;НЕТ риска кланового мятежа;x
RISKS_MINOR_CLAN_RISING;Риск кланового мятежа;x
nomad_expansion_desc;Имея достаточно очков престижа, мы можем подчинить себе крупные чужеземные регионы, победив в одной войне.;x
CB_NAME_NOMAD_EXPANSION;Подчинение: [Title.GetBaseName];x
WAR_NAME_NOMAD_EXPANSION;$ORDER$$FIRST_ADJ$ская война за подчинение земли, известной как $OTHER_TITLE$;x
POLL_TAX_DESC;Иноверцы (зимми) обязаны платить налог джизья.;x
CLAN_SIZE;§YПредельное число кланов§!;x
CLAN_SIZE_DESC;Максимальное количество кланов определяется размерами страны. Слишком большое их число негативно отразится на §Yнастроении кланов§! (вассальных по отношению к сюзерену). Также есть и абсолютный максимум - §Y$MAX$§!, после которого Вы больше не сможете §YРазделить клан§! и любой покорённый Вами правитель-§Yкочевник§! будет становиться §Yплеменным§! правителем.;x
#CLAN_LIMIT_FORMULA;§YAllowed Number of Clans§!;Nombre autorisй de clans;Zulдssige Anzahl an Klans;;Nъmero permitido de clanes;;;;;;;;;x
succ_nomad_succession;Кочевое наследование;x
