#CODE;RUSSIAN;x
ERA_CHAR_NAME_6392;Карл Великий;x
ERA_CHAR_NAME_144999;Карломан I;x
ERA_CHAR_NAME_190347;Дезидерий Ломбардский;x
ERA_CHAR_NAME_73679;Абд-аль-Рахман I;;x
ERA_CHAR_NAME_34002;Аль-Мансур;x
ERA_CHAR_NAME_74413;Кришна I;x
ERA_CHAR_NAME_163112;Хальфдан Хвитсерк;x
ERA_CHAR_NAME_40605;Рюрик;x
ERA_CHAR_NAME_90104;Карл Лысый;x
ERA_CHAR_NAME_90107;Людвиг Немецкий;x
ERA_CHAR_NAME_1700;Василий I Македонянин;x
ERA_CHAR_NAME_34014;Аль-Мутазз;x
ERA_CHAR_NAME_140;Вильгельм Завоеватель;x
ERA_CHAR_NAME_1316;Генрих IV;x
ERA_CHAR_NAME_1128;Роберт Гвискар;x
ERA_CHAR_NAME_3096;Аль-Мустансир Биллах;x
ERA_CHAR_NAME_3040;Алп-Арслан;x
ERA_CHAR_NAME_74441;Сомесвара I;x
ERA_CHAR_NAME_457620;Фернандо III Кастильский;x
ERA_CHAR_NAME_212513;Фридрих II;x
ERA_CHAR_NAME_30809;Изабелла II Иерусалимская;x
ERA_CHAR_NAME_93052;Ала ад-Дин Мухаммед II;x
ERA_CHAR_NAME_170193;Илтутмиш Делийский;x
ERA_CHAR_NAME_125501;Чингисхан;x
ERA_CHAR_NAME_454500;Эдвард III Плантагенет;x
ERA_CHAR_NAME_455500;Филипп VI де Валуа;;x
ERA_CHAR_NAME_471500;Казимир Великий;x
ERA_CHAR_NAME_476500;Орхан I из Османов;x
ERA_CHAR_NAME_480000;Узбек-хан;x
ERA_CHAR_NAME_170258;Мухаммед ибн Туглак;x
ERA_UMAYYAD_EMPIRE;Омейяды;x
ERA_RASHTRAKUTA_KINGDOM;Раштракута;x
ERA_JORVIK;Йорвик;x
ERA_HOLMGARDR;Хольмгард;x
ERA_CHALUKYA;Чалукья;x
ERA_KHWAREZM;Хорезмиды;x
ERA_TUGHLUQ;Туглакиды;x
disobedient_daughter_takes_lover;[FromFrom.GetFirstName] нашла нового любовника;x
DISOBEDIENT_DAUGHTER_MERC_BAND;[This.Capital.County.GetAdjective]ская свора;x
nick_the_red;Кровавая;x
nick_the_sea_devil;Морской дьявол;x
nick_the_lioness;Свирепая;x
nick_the_flail_of;[Root.Liege.PrimaryTitle.GetAdjective]ская Гадюка;x
nick_the_scourge_of;Бич земли [Root.Liege.PrimaryTitle.GetAdjective]ской;x
EVTTITLE_ZE_1011;Hепослушная дочь;x
EVTDESC_ZE_1011;Ваша дочь [FromFrom.GetFirstName] явно недовольна решением о своём браке и решила напрямую высказать это Вам: "Я не люблю своего жениха и никогда не выйду за него! Отмени свадьбу!";x
EVTOPTA_ZE_1011;[FromFrom.GetFirstName], подумай о будущем!;x
EVTOPTB_ZE_1011;Ладно, я не стану тебя заствлять.;x
EVTDESC_ZE_1012;Уже почти всё готово для предстоящего торжества, но неожиданно [From.GetTitledName] отменяет свадьбу и говорит, что [From.GetHersHis] дочь "не собирается мирится" с тем, что [target_spurned_spouse], которого она не любит, может стать её мужем!;x
EVTOPTA_ZE_1012;Что?! Это неслыханно!;x
