#CODE;RUSSIAN;
character_owe_favor;Этот человек будет должен Вам §Yуслугу§!.;x
EVTDESC_ZE_22300;Пользуясь привилегией правителя, Вы, как это обычно бывает, судите подозреваемых в преступлениях. Перед Вами предстаёт молодой аристократ и вскоре Вы понимаете - этот человек несомненно виновен. Но возможно, в подобной ситуации правосудие - не самое мудрое решение. Ведь если помиловать благородного человека, он будет перед Вами в долгу.;x
EVTOPTA_ZE_22300;Отспустите его! Не забывайте о моём милосердии...;x
EVTOPTB_ZE_22300;Закон един для всех. Бросьте его в темницу!;x
EVTDESC_ZE_22400;В Совете жаркие споры, и вот [target_saved_voter.GetTitledFirstName] берёт слово как раз в тот момент, когда Вы собираетесь выставить себя в дурном свете, евда не успев ляпнув какую-то глупость. Уверенными и убедительными аргументами, [target_saved_voter.GetFirstName] не только спасает Вашу репутацию, но и побеждает в споре! Очевидно, что [target_saved_voter.GetHersHis] красноречие - единственная причина Вашего успеха.;x
EVTOPTA_ZE_22400;Благодарю! Я перед Вами в долгу.;x
EVTOPTB_ZE_22400;Спасибо, но я могу за себя постоять!;x
EVTDESC_ZE_22410;В Совете жаркие споры, и Вы встреваете как раз в тот момент, когда [From.GetBestName] собирается выставить себя в дурном свете, ляпнув какую-то глупость. Вы побеждаете в споре и спасаете [From.GetHersHis] репутацию. Оказалось, это был мудрый шаг с Вашей стороны, ведь [From.GetSheHe] теперь в долгу перед Вами!;x
EVTOPTA_ZE_22410;Кто знает, чем [From.GetSheHe] сможет мне помочь в будущем...;x
EVTDESC_ZE_22420;В Совете жаркие споры, и Вы встреваете как раз в тот момент, когда [From.GetBestName] собирается выставить себя в дурном свете, ляпнув какую-то глупость. Вы побеждаете в споре и спасаете [From.GetHersHis] репутацию. Но в итоге это ещё больше разозлило [From.GetHersHis], и нелепый балаган, последовавший за всем этим стал [From.GetHersHis] личным позором.;x
EVTOPTA_ZE_22420;Всегда пожалуйста!;x
EVTDESC_ZE_22500;Заседение Совета подходит к концу, и [target_pious_voter.GetTitledFirstName] зовёт Вас на пару слов - "Так нельзя! [Root.Religion.GetScriptureName] - великий источник мудрости! Вам нужно чаще прислушиваться к святому слову в принятии важных решений." Совет так же считает, что Вы перегнули палку, но [target_pious_voter.GetFirstName] хочет Вам помочь.;x
EVTOPTA_ZE_22500;Вы сделаете это для меня? Я перед Вами в долгу!;x
EVTOPTB_ZE_22500;Пыльным манускриптам не место в политике!;x
EVTDESC_ZE_22510;Совет считает, что [From.GetBestName] ведёт себя крайне неблагочестиво, [Root.Religion.GetScriptureName] для н[From.GetHersHis] - лишь собрание глупых сказок. Вы - человек набожный и хотите помочь [From.GetHerHim] не повторять прежних ошибок. [From.GetFirstName] выражает Вам свою признательность и уверяет, что Вы можете расчитывать на ответную услугу с [From.GethrsHis] стороны.;x
EVTOPTA_ZE_22510;Ловлю [From.GetHersHis] на слове.;x
EVTDESC_ZE_22520;Совет считает, что [From.GetBestName] ведёт себя крайне неблагочестиво, [Root.Religion.GetScriptureName] для н[From.GetHersHis] - лишь собрание глупых сказок. Вы - человек набожный и хотите помочь [From.GetHerHim] не повторять прежних ошибок. Но [From.GetFirstName] ясно даёт Вам понять, что не изменит своё мнение о роли религии в государстве.;x
EVTOPTA_ZE_22520;Такой человек ничем не лучше еретика...;x
EVTDESC_ZE_22600;До Вас дошли слухи, что где-то в далёких краях есть [target_foreign_voter.GetJobTitle] с хорошими навыками - [target_foreign_voter.GetBestName] легко справляется со своей работой, не то что Вы. Возможно стоит написать [target_foreign_voter.GetHerHim] и посоветоваться?;x
EVTOPTA_ZE_22600;Я напишу [target_foreign_voter.GetHerHim] прямо сейчас!;x
EVTOPTB_ZE_22600;Зачем докучать человеку по всяким пустякам...;x
EVTDESC_ZE_22610;Приветствую, [Root.GetTitledFirstName].\nВам пишет [From.GetTitledFirstName], [From.GetJobTitle] [From.Liege.PrimaryTitle.GetAdjective]ского Совета.\nВаши выдающиеся навыки широко известны в наших краях, и я смиренно прошу Вас дать мне дельный совет по вопросам политики, чтобы послужить своей стране также хорошо, как это делаете Вы.\nС уважением,\n [From.GetTitledName];x
EVTOPTA_ZE_22610;Как трогательно. Конечно, я помогу [From.GetHerHim].;x
EVTOPTB_ZE_22610;[From.GetHersHisCap] стране?! За кого [From.GetSheHe] меня принимает?;x
EVTDESC_ZE_22620;[GetFromRootCompliment] [Root.GetFirstName].\nЯ с радостью помогу Вам. К этому письму я прилагаю небольшую книгу. "[From.GetLordLadyCap] [From.GetJobTitle]" описывает мой личный опыт в должности советника. Надеюсь, это поможет Вам на службе.\nС уважением,\n [From.GetTitledName];x
EVTOPTA_ZE_22620;Воистину великий человек!;x
EVTDESC_ZE_22630;[GetFromRootInsult] [Root.GetFirstName].\nВы правда думаете, что я выдам Вам свои секреты? Вы - посредственность... Надеюсь, [From.Liege.GetTitledFirstName] и [From.GetCouncilName] продолжат игнорировать сей очевидный факт.\nПодпись:\n [From.GetTitledName];x
EVTOPTA_ZE_22630;Наивно было пытаться...;x
EVTOPTB_ZE_22630;Да как [From.GetSheHe] смеет оскорблять меня?!;x
EVTOPTC_ZE_22630;Предложу [From.GetHerHim] золото. У всех есть своя цена...;x
EVTDESC_ZE_22640;[GetFromRootCompliment] [Root.GetFirstName].\nЗнайте, я никогда не забуду того, что Вы для меня сделали! Если я что-то могу для Вас сделать, пожалуйста, обращайтесь в любой момент.\nС уважением,\n [From.GetTitledName];x
EVTOPTA_ZE_22640;Прекрасно!;x
EVTDESC_ZE_22650;Моё почтение, [Root.GetTitledFirstName].\nЯ хочу, чтобы Вы знали, в моей просьбе не было злого умысла, только восхищение и любопытство, но даже в этом случае, я прошу прощения за своё поведение.\nС уважением,\n [From.GetTitledName];x
EVTOPTA_ZE_22650;Возможно, мой ответ был слишком резким...;x
EVTDESC_ZE_22660;[GetFromRootInsult] [Root.GetFirstName].\nДа как Вы смеете оскорблять меня? Будьте уверены, я этого не забуду!\nПодпись:\n [From.GetTitledName];x
EVTOPTA_ZE_22660;[GetRootFromInsult]...;x
EVTDESC_ZE_22670;[GetFromRootCompliment] [Root.GetFirstName].\nПрошу простить мне мою дерзость. Возможно, мы могли бы договориться. Как Вы смотрите на такой вариант - я заплачу Вам золотом, а Вы пересмотрите своё предложение?\nС уважением,\n [From.GetTitledName];x
EVTOPTA_ZE_22670;Ну вот... совсем другое дело!;x
EVTOPTB_ZE_22670;Вы забираете своё золото и катитесь ко всем чертям.;x
EVTDESC_ZE_22680;[GetFromRootCompliment] [Root.GetFirstName],\nЯ прошу прощения за своё прошлое поведение. К этому письму я прилагаю небольшую книгу. "[From.GetLordLadyCap] [From.GetJobTitle]" описывает мой личный опыт в должности советника. Надеюсь, это поможет Вам на службе.\nС уважением,\n [From.GetTitledName];x
EVTOPTA_ZE_22680;Золото творит чудеса!;x
EVTDESC_ZE_22690;Приветствую, [Root.GetTitledFirstName].\nМеня приятно удивляет, что [Root.GetJobTitle] с посредственными навыками обладает такой целеустремлённостью. Но у меня к Вам встречное предложение - Вы забираете своё золото и катитесь ко всем чертям!\nУ уважением,\n [From.GetTitledName];x
EVTOPTA_ZE_22690;Попробовать стоило...;x
stats_increased_tooltip;§Y[From.GetTitledFirstName]§! улучшит свои характеристики\n;x
EVTDESC_ZE_22702;Похоже, что Ваш друг, [target_unlanded_friend.GetTitledFirstName], не унаследует землю. Вы всегда считали, что [GetRootFromCompliment] вроде н[target_unlanded_friend.GetHersHis] заслуживает лучшего. [target_friend_land.GetFullName] - хорошее предложение с Вашей стороны, к тому же вся Ваша семья получит верного вассала в [target_unlanded_friend.GetHersHis] лице.;x
EVTOPTA_ZE_22702;Я предложу [target_unlanded_friend.GetHerHim] эту землю.;x
EVTOPTB_ZE_22702;Увы, из правитель н[target_unlanded_friend.GetHersHis] никакой...;x
indebted_to_family_tooltip;§Y[target_unlanded_friend.GetFirstName]§! улучшит своё мнение о всех членах Вашей §Yдинастии§! на §G50§! §Y(Верный слуга)§!\n;x
INFAMY;§YУгроза§!;x
INFAMY_DESC;§YУгроза§! показывает, насколько опасно то или иное государство для других. Чем выше это значение, тем вероятнее правители соседних государств сформируют §Yоборонительный союз§!, чтобы предотвратить возможную экспансию. §YУгроза§! растёт, когда страна расширяется и чем крупнее она на момент своего расширения, тем больше будет прибавка к параметру. §YУгроза§! снижается при сокращении размеров государства, а также медленно сама по себе с течением времени - чем сильнее государство, тем медленнее это происходит.;x
INTERACTION_CANT_DOW_IN_COALITION;Убедитесь, что НЕ сражается как участник оборонительного союза;x
